q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
86.572,85.187,86.714,0.0346,10.0,1,1,1,1,1,10.0,58,5690616,2,0.2868
85.664,85.452,87.079,0.0108,4.0,5,0,3,5,5,4.0,58,5708630,1,0.2868
85.96,85.518,87.236,0.0134,8.0,2,0,5,2,2,8.0,58,5696094,3,0.2868
86.295,86.059,88.687,0.0201,6.0,3,0,7,3,3,6.0,58,5698779,5,0.2868
86.907,86.188,0.0,0.0377,5.0,4,0,11,4,4,5.0,58,5707797,7,0.2868
86.891,86.413,0.0,0.0034,3.0,6,0,13,6,6,3.0,57,0,14,0.1509
86.14,0.0,0.0,0.031,1.0,8,0,15,8,8,1.0,53,0,4,0.0757
87.446,0.0,0.0,0.0026,2.0,7,0,17,7,7,2.0,55,0,8,0.0757
95.645,94.188,96.23,0.031,11.0,2,1,2,1,1,10.0,56,5478555,2,0.2868
95.227,94.759,96.613,0.0108,10.0,4,0,8,3,3,6.0,56,5517005,7,0.2868
95.392,94.627,96.709,0.0346,14.0,1,1,9,5,5,4.0,56,5525103,3,0.2868
95.205,94.96,96.711,0.0174,5.0,8,0,3,4,4,5.0,56,5524387,8,0.2868
95.794,94.811,96.727,0.0094,8.0,5,0,4,2,2,8.0,56,5498125,6,0.2868
95.729,94.648,96.753,0.0134,11.0,3,0,5,6,6,3.0,56,5528388,1,0.2868
95.44,94.967,97.009,0.0192,2.0,11,0,6,7,7,2.0,56,5546685,12,0.2868
95.983,95.14,98.45,0.0377,6.0,7,0,7,8,8,1.0,56,5548596,10,0.2868
95.847,95.208,0.0,0.0255,0.0,13,0,11,10,10,0.0,56,5564769,4,0.2868
96.058,95.408,0.0,0.0151,0.0,12,0,12,9,9,0.0,56,5554775,9,0.2868
96.074,95.562,0.0,0.0025,0.0,14,0,13,11,11,0.0,56,5570757,15,0.2868
96.198,95.622,0.0,0.0207,0.0,16,0,14,13,13,0.0,55,0,11,0.1509
95.843,95.67,0.0,0.0201,6.0,6,0,16,14,14,0.0,55,0,13,0.1509
96.24,0.0,0.0,0.0144,0.0,15,0,17,12,12,0.0,55,0,16,0.1509
96.388,0.0,0.0,0.0034,3.0,9,0,22,17,17,0.0,54,0,17,0.0603
96.677,0.0,0.0,0.0026,2.0,10,0,18,0,22,0.0,0,0,0,0.0297
97.087,0.0,0.0,0.0073,0.0,18,0,19,16,16,0.0,54,0,19,0.0603
97.481,0.0,0.0,0.002,0.0,17,0,21,15,15,0.0,55,0,18,0.1509
92.893,91.745,93.096,0.0094,14.0,4,0,1,3,3,6.0,57,5471968,5,0.2868
91.937,91.188,93.123,0.0247,10.0,6,1,2,1,1,10.0,57,5466970,3,0.2868
92.75,91.922,93.292,0.0346,14.0,3,1,3,13,13,0.0,56,0,19,0.1509
92.652,91.933,93.418,0.031,19.0,1,1,4,2,2,8.0,57,5470309,4,0.2868
93.057,91.718,93.488,0.0108,14.0,5,0,5,5,5,4.0,57,5493759,1,0.2868
