resultId,raceId,driverId,constructorId,number,grid,position,positionOrder,points,laps,milliseconds,rank,statusId,status_freq
1,18,1,1,22,1,1,1,10.0,58,5690616,2,1,0.2868
2,18,2,2,3,5,2,2,8.0,58,5696094,3,1,0.2868
3,18,3,3,7,7,3,3,6.0,58,5698779,5,1,0.2868
4,18,4,4,5,11,4,4,5.0,58,5707797,7,1,0.2868
5,18,5,1,23,3,5,5,4.0,58,5708630,1,1,0.2868
6,18,6,3,8,13,6,6,3.0,57,0,14,11,0.1509
7,18,7,5,14,17,7,7,2.0,55,0,8,5,0.0757
8,18,8,6,1,15,8,8,1.0,53,0,4,5,0.0757
9,18,9,2,4,2,0,9,0.0,47,0,9,4,0.0319
10,18,10,7,12,18,0,10,0.0,43,0,13,3,0.0397
11,18,11,8,18,19,0,11,0.0,32,0,15,7,0.012
12,18,12,4,6,20,0,12,0.0,30,0,16,8,0.008
13,18,13,6,2,4,0,13,0.0,29,0,6,5,0.0757
14,18,14,9,9,8,0,14,0.0,25,0,11,4,0.0319
15,18,15,7,11,6,0,15,0.0,19,0,10,10,0.0118
16,18,16,10,20,22,0,16,0.0,8,0,17,9,0.0052
17,18,17,9,10,14,0,17,0.0,0,0,0,4,0.0319
18,18,18,11,16,12,0,18,0.0,0,0,0,4,0.0319
19,18,19,8,19,21,0,19,0.0,0,0,0,4,0.0319
20,18,20,5,15,9,0,20,0.0,0,0,0,4,0.0319
21,18,21,10,21,16,0,21,0.0,0,0,0,4,0.0319
22,18,22,11,17,10,0,22,0.0,58,0,8,2,0.0055
23,19,8,6,1,2,1,1,10.0,56,5478555,2,1,0.2868
24,19,9,2,4,4,2,2,8.0,56,5498125,6,1,0.2868
25,19,5,1,23,8,3,3,6.0,56,5517005,7,1,0.2868
26,19,15,7,11,3,4,4,5.0,56,5524387,8,1,0.2868
27,19,1,1,22,9,5,5,4.0,56,5525103,3,1,0.2868
28,19,2,2,3,5,6,6,3.0,56,5528388,1,1,0.2868
29,19,17,9,10,6,7,7,2.0,56,5546685,12,1,0.2868
30,19,4,4,5,7,8,8,1.0,56,5548596,10,1,0.2868
31,19,14,9,9,12,9,9,0.0,56,5554775,9,1,0.2868
32,19,18,11,16,11,10,10,0.0,56,5564769,4,1,0.2868
33,19,12,4,6,13,11,11,0.0,56,5570757,15,1,0.2868
34,19,21,10,21,17,12,12,0.0,55,0,16,11,0.1509
35,19,22,11,17,14,13,13,0.0,55,0,11,11,0.1509
